date	valueAtClose
31-Dec-70	89.61
5-Feb-71	100
31-Dec-71	114.12
14-Nov-72	132.9
31-Dec-72	133.73
31-Dec-73	92.19
31-Dec-74	59.82
31-Dec-75	77.62
31-Dec-76	97.88
31-Dec-77	105.05
31-Dec-78	117.98
31-Dec-79	151.14
13-Nov-80	200.25
31-Dec-80	202.34
31-Dec-81	195.84
31-Dec-82	232.41
31-Dec-83	278.6
31-Dec-84	247.35
31-Dec-85	324.39
31-Dec-86	348.81
8-Jan-87	377.54
19-Oct-87	360.21
31-Dec-87	330.47
31-Dec-88	381.38
31-Dec-89	454.82
31-Dec-90	373.84
12-Apr-91	501.62
17-Apr-91	511.31
31-Dec-91	586.34
31-Dec-92	676.95
31-Dec-93	776.8
31-Dec-94	751.96
23-Feb-95	791.35
17-Jul-95	1005.89
21-Nov-95	1024.99
31-Dec-95	1052.13
14-Oct-96	1256.36
31-Dec-96	1291.03
13-Feb-97	1370.81
16-Jul-97	1580.63
31-Dec-97	1570.35
6-May-98	1856.68
16-Jul-98	2000.56
31-Dec-98	2192.68
29-Mar-99	2492.84
3-May-99	2535.58
3-Nov-99	3028.51
29-Dec-99	4041.46
31-Dec-99	4069.31
14-Jan-00	4064.27
9-Mar-00	5046.86
10-Mar-00	5048.62
31-Dec-00	2470.52
21-Sep-01	1423.19
31-Dec-01	1950.4
4-Oct-02	1139.9
31-Dec-02	1335.51
31-Dec-03	2003.37
31-Dec-04	2178.34
22-Nov-05	2253.56
30-Dec-05	2205.32
6-Jan-06	2305.62
11-Jan-06	2331.36
13-Jan-06	2317.04
20-Jan-06	2247.7
27-Jan-06	2304.23
3-Feb-06	2262.58
10-Feb-06	2261.88
17-Feb-06	2282.36
24-Feb-06	2287.04
3-Mar-06	2302.6
10-Mar-06	2262.04
17-Mar-06	2306.48
24-Mar-06	2312.82
31-Mar-06	2339.79
7-Apr-06	2339.02
13-Apr-06	2326.11
21-Apr-06	2342.86
28-Apr-06	2322.57
5-May-06	2342.57
12-May-06	2243.78
19-May-06	2193.88
26-May-06	2210.37
2-Jun-06	2219.41
9-Jun-06	2135.06
16-Jun-06	2129.95
23-Jun-06	2121.47
30-Jun-06	2172.09
7-Jul-06	2130.06
14-Jul-06	2037.35
21-Jul-06	2020.39
28-Jul-06	2094.14
4-Aug-06	2085.05
11-Aug-06	2057.71
18-Aug-06	2163.95
25-Aug-06	2140.29
1-Sep-06	2193.16
8-Sep-06	2165.79
15-Sep-06	2235.59
22-Sep-06	2218.93
29-Sep-06	2258.43
6-Oct-06	2299.99
13-Oct-06	2357.29
20-Oct-06	2342.3
27-Oct-06	2350.62
3-Nov-06	2330.79
10-Nov-06	2389.72
17-Nov-06	2445.86
24-Nov-06	2460.26
1-Dec-06	2413.21
8-Dec-06	2437.36
15-Dec-06	2457.2
22-Dec-06	2401.18
29-Dec-06	2415.29
5-Jan-07	2434.25
12-Jan-07	2502.82
19-Jan-07	2451.31
26-Jan-07	2435.49
2-Feb-07	2475.88
9-Feb-07	2459.82
16-Feb-07	2496.31
23-Feb-07	2515.1
2-Mar-07	2368
9-Mar-07	2387.55
16-Mar-07	2372.66
23-Mar-07	2448.93
30-Mar-07	2421.64
5-Apr-07	2471.34
13-Apr-07	2491.94
20-Apr-07	2526.39
27-Apr-07	2557.21
4-May-07	2572.15
11-May-07	2562.22
18-May-07	2558.45
25-May-07	2557.19
1-Jun-07	2613.92
8-Jun-07	2573.54
15-Jun-07	2626.71
22-Jun-07	2588.96
29-Jun-07	2603.23
6-Jul-07	2666.51
13-Jul-07	2707
20-Jul-07	2687.6
27-Jul-07	2562.24
3-Aug-07	2511.25
10-Aug-07	2544.89
17-Aug-07	2505.03
24-Aug-07	2576.69
31-Aug-07	2596.36
7-Sep-07	2565.7
14-Sep-07	2602.18
21-Sep-07	2671.22
28-Sep-07	2701.5
5-Oct-07	2780.32
12-Oct-07	2805.68
19-Oct-07	2725.16
26-Oct-07	2804.19
2-Nov-07	2810.38
9-Nov-07	2627.94
16-Nov-07	2637.24
23-Nov-07	2596.6
30-Nov-07	2660.96
7-Dec-07	2706.16
14-Dec-07	2635.74
21-Dec-07	2691.99
28-Dec-07	2674.46
31-Dec-07	2652.28
4-Jan-08	2504.65
11-Jan-08	2439.94
18-Jan-08	2340.02
25-Jan-08	2326.2
1-Feb-08	2413.36
8-Feb-08	2304.85
15-Feb-08	2321.8
22-Feb-08	2303.35
29-Feb-08	2271.48
7-Mar-08	2212.49
14-Mar-08	2212.49
21-Mar-08	2258.11
28-Mar-08	2261.18
4-Apr-08	2370.98
11-Apr-08	2290.24
18-Apr-08	2402.97
25-Apr-08	2422.93
2-May-08	2476.99
9-May-08	2445.52
16-May-08	2528.85
23-May-08	2444.67
30-May-08	2522.66
6-Jun-08	2474.56
13-Jun-08	2454.5
20-Jun-08	2406.09
27-Jun-08	2315.63
4-Jul-08	2245.38
11-Jul-08	2239.08
18-Jul-08	2282.78
25-Jul-08	2310.53
1-Aug-08	2310.96
8-Aug-08	2414.1
15-Aug-08	2452.52
22-Aug-08	2414.71
29-Aug-08	2367.52
5-Sep-08	2255.88
12-Sep-08	2261.27
19-Sep-08	2273.9
26-Sep-08	2183.34
3-Oct-08	1947.39
10-Oct-08	1649.51
17-Oct-08	1711.29
24-Oct-08	1552.03
31-Oct-08	1720.95
7-Nov-08	1647.4
14-Nov-08	1516.85
21-Nov-08	1384.35
28-Nov-08	1535.57
5-Dec-08	1509.31
12-Dec-08	1540.72
19-Dec-08	1564.32
26-Dec-08	1530.24
31-Dec-08	1577.03
2-Jan-09	1632.21
9-Jan-09	1571.59
16-Jan-09	1529.33
23-Jan-09	1477.29
30-Jan-09	1476.42
6-Feb-09	1591.71
13-Feb-09	1534.36
20-Feb-09	1441.23
27-Feb-09	1377.84
6-Mar-09	1293.85
13-Mar-09	1431.5
20-Mar-09	1457.27
27-Mar-09	1545.2
3-Apr-09	1621.87
10-Apr-09	1652.54
17-Apr-09	1673.07
24-Apr-09	1694.29
1-May-09	1719.2
8-May-09	1739
15-May-09	1680.14
22-May-09	1692.01
29-May-09	1774.33
5-Jun-09	1849.42
12-Jun-09	1858.8
19-Jun-09	1827.47
26-Jun-09	1838.22
2-Jul-09	1796.52
10-Jul-09	1756.03
17-Jul-09	1886.61
24-Jul-09	1965.96
31-Jul-09	1978.5
7-Aug-09	2000.25
14-Aug-09	1985.52
21-Aug-09	2020.9
28-Aug-09	2028.77
4-Sep-09	2018.78
11-Sep-09	2080.9
18-Sep-09	2132.86
25-Sep-09	2090.92
2-Oct-09	2048.11
9-Oct-09	2139.28
16-Oct-09	2156.8
23-Oct-09	2154.47
30-Oct-09	2045.11
6-Nov-09	2112.44
13-Nov-09	2167.88
20-Nov-09	2146.04
27-Nov-09	2138.44
4-Dec-09	2194.35
11-Dec-09	2190.31
18-Dec-09	2211.69
24-Dec-09	2285.69
31-Dec-09	2269.15
8-Jan-10	2317.17
15-Jan-10	2287.99
22-Jan-10	2205.29
29-Jan-10	2147.35
6-Feb-10	2141.12
12-Feb-10	2183.53
19-Feb-10	2243.87
26-Feb-10	2238.26
5-Mar-10	2326.35
12-Mar-10	2367.66
19-Mar-10	2374.41
26-Mar-10	2395.13
2-Apr-10	2402.58
9-Apr-10	2454.05
16-Apr-10	2481.26
23-Apr-10	2530.15
30-Apr-10	2461.19
7-May-10	2265.64
14-May-10	2346.85
21-May-10	2229.04
28-May-10	2257.04
4-Jun-10	2219.17
11-Jun-10	2243.6
18-Jun-10	2309.8
25-Jun-10	2223.48
2-Jul-10	2091.79
9-Jul-10	2196.45
16-Jul-10	2179.05
23-Jul-10	2269.47
30-Jul-10	2254.7
6-Aug-10	2288.47
13-Aug-10	2173.48
20-Aug-10	2179.76
27-Aug-10	2153.63
3-Sep-10	2233.75
10-Sep-10	2242.48
17-Sep-10	2315.61
24-Sep-10	2381.22
1-Oct-10	2370.75
8-Oct-10	2401.91
15-Oct-10	2468.77
22-Oct-10	2479.39
29-Oct-10	2507.41
5-Nov-10	2578.98
12-Nov-10	2518.21
19-Nov-10	2518.12
26-Nov-10	2534.56
3-Dec-10	2591.46
10-Dec-10	2637.54
17-Dec-10	2642.97
24-Dec-10	2665.6
31-Dec-10	2652.87
7-Jan-11	2703.17
14-Jan-11	2755.3
21-Jan-11	2689.54
28-Jan-11	2686.89
4-Feb-11	2769.3
11-Feb-11	2809.44
18-Feb-11	2833.95
25-Feb-11	2781.05
4-Mar-11	2784.67
11-Mar-11	2715.61
18-Mar-11	2643.67
25-Mar-11	2743.06
1-Apr-11	2789.6
8-Apr-11	2780.42
15-Apr-11	2764.65
22-Apr-11	2820.16
29-Apr-11	2873.54
6-May-11	2827.56
13-May-11	2828.47
20-May-11	2803.32
27-May-11	2796.86
3-Jun-11	2732.78
10-Jun-11	2643.73
17-Jun-11	2616.48
24-Jun-11	2652.89
1-Jul-11	2816.03
8-Jul-11	2859.81
15-Jul-11	2789.8
22-Jul-11	2858.83
29-Jul-11	2756.38
5-Aug-11	2532.41
12-Aug-11	2507.98
19-Aug-11	2341.84
26-Aug-11	2479.85
2-Sep-11	2480.33
9-Sep-11	2467.99
16-Sep-11	2622.31
23-Sep-11	2483.23
30-Sep-11	2415.4
7-Oct-11	2479.35
14-Oct-11	2667.85
21-Oct-11	2637.46
28-Oct-11	2737.15
4-Nov-11	2686.15
11-Nov-11	2678.75
18-Nov-11	2572.5
25-Nov-11	2441.51
2-Dec-11	2626.93
9-Dec-11	2646.85
16-Dec-11	2555.33
23-Dec-11	2618.64
30-Dec-11	2605.15
6-Jan-12	2674.22
13-Jan-12	2710.67
20-Jan-12	2786.7
27-Jan-12	2816.55
3-Feb-12	2905.66
10-Feb-12	2903.88
17-Feb-12	2951.78
24-Feb-12	2963.75
2-Mar-12	2976.19
9-Mar-12	2988.34
16-Mar-12	3055.26
23-Mar-12	3067.92
30-Mar-12	3091.57
5-Apr-12	3080.5
13-Apr-12	3011.33
20-Apr-12	3000.45
27-Apr-12	3069.2
4-May-12	2956.34
11-May-12	2933.82
18-May-12	2778.79
25-May-12	2837.53
1-Jun-12	2747.48
8-Jun-12	2858.42
15-Jun-12	2872.8
22-Jun-12	2892.42
29-Jun-12	2935.05
6-Jul-12	2937.33
13-Jul-12	2908.47
20-Jul-12	2925.3
27-Jul-12	2958.09
3-Aug-12	2967.9
10-Aug-12	3020.86
17-Aug-12	3076.59
24-Aug-12	3069.79
31-Aug-12	3066.96
7-Sep-12	3136.42
14-Sep-12	3183.95
21-Sep-12	3179.96
28-Sep-12	3116.23
5-Oct-12	3136.19
12-Oct-12	3044.11
19-Oct-12	3005.62
26-Oct-12	2987.95
2-Nov-12	2982.13
9-Nov-12	2904.87
16-Nov-12	2853.13
23-Nov-12	2966.85
30-Nov-12	3010.24
7-Dec-12	2978.04
14-Dec-12	2971.33
21-Dec-12	3021.01
28-Dec-12	2960.31
31-Dec-12	3019.51
4-Jan-13	3101.66
11-Jan-13	3125.63
18-Jan-13	3134.71
25-Jan-13	3149.71
1-Feb-13	3179.1
8-Feb-13	3193.87
15-Feb-13	3192.03
22-Feb-13	3161.82
1-Mar-13	3169.74
8-Mar-13	3244.37
15-Mar-13	3249.07
22-Mar-13	3245
28-Mar-13	3267.52
5-Apr-13	3203.86
12-Apr-13	3294.95
19-Apr-13	3206.06
26-Apr-13	3279.26
3-May-13	3378.63
10-May-13	3436.58
17-May-13	3498.97
24-May-13	3459.14
31-May-13	3455.91
7-Jun-13	3469.22
14-Jun-13	3423.56
21-Jun-13	3357.25
28-Jun-13	3403.25
5-Jul-13	3479.38
12-Jul-13	3600.08
19-Jul-13	3587.61
26-Jul-13	3613.16
2-Aug-13	3689.59
9-Aug-13	3660.11
16-Aug-13	3602.78
23-Aug-13	3657.79
30-Aug-13	3589.87
6-Sep-13	3660.01
13-Sep-13	3722.18
20-Sep-13	3774.73
27-Sep-13	3781.59
4-Oct-13	3807.75
11-Oct-13	3791.87
18-Oct-13	3914.28
25-Oct-13	3943.36
1-Nov-13	3922.04
8-Nov-13	3922.04
15-Nov-13	3985.97
22-Nov-13	3991.65
29-Nov-13	4059.89
6-Dec-13	4062.52
13-Dec-13	4000.98
20-Dec-13	4104.74
27-Dec-13	4156.59
31-Dec-13	4176.59
3-Jan-14	4131.91
10-Jan-14	4174.66
17-Jan-14	4197.58
24-Jan-14	4128.17
31-Jan-14	4103.88
7-Feb-14	4125.86
14-Feb-14	4244.02
21-Feb-14	4263.41
28-Feb-14	4308.12
7-Mar-14	4336.22
14-Mar-14	4245.4
21-Mar-14	4276.79
28-Mar-14	4155.76
4-Apr-14	4127.73
